Chapter,Title,Sections_Present,All_Required_OK
1,"The Prayer of Jabez",11/11,YES
2,"James & Margaret",11/11,YES
3,"Every Girl Needs a James",11/11,YES
4,"When Everyone Walked Away",11/11,YES
5,"The Season of Shadows",11/11,YES
6,"God Kept Me Alive",11/11,YES
7,"Healing in Stages",11/11,YES
8,"The Keys God Gave Me",11/11,YES
9,"Becoming the Bride",11/11,YES
10,"The Promise Floats",11/11,YES
11,"Fishers of Men",11/11,YES
12,"The Wilderness Wasn't Empty",11/11,YES
13,"After I Suffered Awhile",11/11,YES
14,"Taking the First Step",11/11,YES
15,"Peace in the Storm",11/11,YES
16,"The Unexpected Blessing",11/11,YES
17,"Keeping My Eyes on Jesus",11/11,YES
18,"No Weapon Formed Against Me",11/11,YES
19,"My Tomb Rolled Away",11/11,YES
20,"Walking on Water",11/11,YES
21,"The Promise Still Stands",11/11,YES
22,"Come Forth",11/11,YES
23,"Through the Fire",11/11,YES
24,"Divine Turnaround",11/11,YES
25,"Joy Came Again",11/11,YES
26,"Midnight Praise",11/11,YES
27,"From Pit to Purpose",11/11,YES
28,"Under His Shadow",11/11,YES
29,"The King's Decree",11/11,YES
30,"Favored, Yet I Still Had to Fight",11/11,YES
